name,value,year,lastValue,rank
Pauline Hopkins,297,2015.07,100,1
Pauline Hopkins,100,2015.08,409,1
Pauline Hopkins,409,2015.09,200,1
Pauline Hopkins,200,2015.1,334,1
Pauline Hopkins,334,2015.11,275,1
Pauline Hopkins,275,2015.12,388,1
Pauline Hopkins,388,2016.01,514,1
Pauline Hopkins,514,2016.02,409,1
Pauline Hopkins,409,2016.03,261,1
Pauline Hopkins,261,2016.04,337,1
Pauline Hopkins,337,2016.05,0,1
Pauline Hopkins,0,2016.06,197,1
Pauline Hopkins,197,2016.07,100,1
Pauline Hopkins,100,2016.08,199,1
Pauline Hopkins,199,2016.09,493,1
Pauline Hopkins,493,2016.1,356,1
Pauline Hopkins,356,2016.11,337,1
Pauline Hopkins,337,2016.12,493,1
Pauline Hopkins,493,2017.01,297,1
Pauline Hopkins,297,2017.02,362,1
Pauline Hopkins,362,2017.03,352,1
Pauline Hopkins,352,2017.04,382,1
Pauline Hopkins,382,2017.05,100,1
Pauline Hopkins,100,2017.06,0,1
Pauline Hopkins,0,2017.07,293,1
Pauline Hopkins,293,2017.08,710,1
Pauline Hopkins,710,2017.09,391,1
Pauline Hopkins,391,2017.1,298,1
Pauline Hopkins,298,2017.11,174,1
Pauline Hopkins,174,2017.12,390,1
Pauline Hopkins,390,2018.01,182,1
Pauline Hopkins,182,2018.02,465,1
Pauline Hopkins,465,2018.03,479,1
Pauline Hopkins,479,2018.04,526,1
Pauline Hopkins,526,2018.05,197,1
Pauline Hopkins,197,2018.06,0,1
Pauline Hopkins,0,2018.07,199,1
Pauline Hopkins,199,2018.08,175,1
Pauline Hopkins,175,2018.09,438,1
Pauline Hopkins,438,2018.1,282,1
Pauline Hopkins,282,2018.11,292,1
Pauline Hopkins,292,2018.12,294,1
Pauline Hopkins,294,2019.01,482,1
Pauline Hopkins,482,2019.02,704,1
Pauline Hopkins,704,2019.03,431,1
Pauline Hopkins,431,2019.04,339,1
Pauline Hopkins,339,2019.05,186,1
Pauline Hopkins,186,2019.06,100,1
Pauline Hopkins,100,2019.07,282,1
Pauline Hopkins,282,2019.08,197,1
Pauline Hopkins,197,2019.09,940,1
Pauline Hopkins,940,2019.1,703,1
Pauline Hopkins,703,2019.11,266,1
Pauline Hopkins,266,2019.12,300,1
Pauline Hopkins,300,2020.01,585,1
Pauline Hopkins,585,2020.02,831,1
Pauline Hopkins,831,2020.03,398,1
Pauline Hopkins,398,2020.04,187,1
Pauline Hopkins,187,2020.05,297,1
Pauline Hopkins,297,2020.06,298,1
Pauline Hopkins,298,2020.07,436,1
Pauline Hopkins,436,2020.08,463,1
Pauline Hopkins,463,2020.09,371,1
Pauline Hopkins,371,2020.1,187,1
Pauline Hopkins,187,2020.11,292,1
Pauline Hopkins,292,2020.12,396,1
Pauline Hopkins,396,2021.01,448,1
Pauline Hopkins,448,2021.02,297,1
Pauline Hopkins,297,2021.03,415,1
Pauline Hopkins,415,2021.04,446,1
Pauline Hopkins,446,2021.05,197,1
Pauline Hopkins,197,2021.06,0,1
Pauline Hopkins,0,2021.07,0,1
Pauline Hopkins,0,2021.08,358,1
Pauline Hopkins,358,2021.09,393,1
Pauline Hopkins,393,2021.1,290,1
Pauline Hopkins,290,2021.11,100,1
Pauline Hopkins,100,2021.12,560,1
Pauline Hopkins,560,2022.01,582,1
Pauline Hopkins,582,2022.02,384,1
Pauline Hopkins,384,2022.03,259,1
Charles Chesnutt,259,2015.07,779,2
Charles Chesnutt,779,2015.08,662,2
Charles Chesnutt,662,2015.09,726,2
Charles Chesnutt,726,2015.1,755,2
Charles Chesnutt,755,2015.11,348,2
Charles Chesnutt,348,2015.12,960,2
Charles Chesnutt,960,2016.01,663,2
Charles Chesnutt,663,2016.02,842,2
Charles Chesnutt,842,2016.03,643,2
Charles Chesnutt,643,2016.04,539,2
Charles Chesnutt,539,2016.05,775,2
Charles Chesnutt,775,2016.06,297,2
Charles Chesnutt,297,2016.07,623,2
Charles Chesnutt,623,2016.08,743,2
Charles Chesnutt,743,2016.09,841,2
Charles Chesnutt,841,2016.1,517,2
Charles Chesnutt,517,2016.11,716,2
Charles Chesnutt,716,2016.12,654,2
Charles Chesnutt,654,2017.01,552,2
Charles Chesnutt,552,2017.02,650,2
Charles Chesnutt,650,2017.03,700,2
Charles Chesnutt,700,2017.04,451,2
Charles Chesnutt,451,2017.05,415,2
Charles Chesnutt,415,2017.06,885,2
Charles Chesnutt,885,2017.07,381,2
Charles Chesnutt,381,2017.08,581,2
Charles Chesnutt,581,2017.09,670,2
Charles Chesnutt,670,2017.1,598,2
Charles Chesnutt,598,2017.11,537,2
Charles Chesnutt,537,2017.12,722,2
Charles Chesnutt,722,2018.01,568,2
Charles Chesnutt,568,2018.02,1105,2
Charles Chesnutt,1105,2018.03,893,2
Charles Chesnutt,893,2018.04,835,2
Charles Chesnutt,835,2018.05,403,2
Charles Chesnutt,403,2018.06,394,2
Charles Chesnutt,394,2018.07,609,2
Charles Chesnutt,609,2018.08,555,2
Charles Chesnutt,555,2018.09,747,2
Charles Chesnutt,747,2018.1,503,2
Charles Chesnutt,503,2018.11,788,2
Charles Chesnutt,788,2018.12,732,2
Charles Chesnutt,732,2019.01,570,2
Charles Chesnutt,570,2019.02,727,2
Charles Chesnutt,727,2019.03,704,2
Charles Chesnutt,704,2019.04,588,2
Charles Chesnutt,588,2019.05,384,2
Charles Chesnutt,384,2019.06,296,2
Charles Chesnutt,296,2019.07,312,2
Charles Chesnutt,312,2019.08,435,2
Charles Chesnutt,435,2019.09,696,2
Charles Chesnutt,696,2019.1,625,2
Charles Chesnutt,625,2019.11,613,2
Charles Chesnutt,613,2019.12,780,2
Charles Chesnutt,780,2020.01,1161,2
Charles Chesnutt,1161,2020.02,521,2
Charles Chesnutt,521,2020.03,714,2
Charles Chesnutt,714,2020.04,475,2
Charles Chesnutt,475,2020.05,608,2
Charles Chesnutt,608,2020.06,878,2
Charles Chesnutt,878,2020.07,420,2
Charles Chesnutt,420,2020.08,777,2
Charles Chesnutt,777,2020.09,572,2
Charles Chesnutt,572,2020.1,370,2
Charles Chesnutt,370,2020.11,623,2
Charles Chesnutt,623,2020.12,679,2
Charles Chesnutt,679,2021.01,728,2
Charles Chesnutt,728,2021.02,723,2
Charles Chesnutt,723,2021.03,987,2
Charles Chesnutt,987,2021.04,542,2
Charles Chesnutt,542,2021.05,285,2
Charles Chesnutt,285,2021.06,191,2
Charles Chesnutt,191,2021.07,488,2
Charles Chesnutt,488,2021.08,486,2
Charles Chesnutt,486,2021.09,647,2
Charles Chesnutt,647,2021.1,419,2
Charles Chesnutt,419,2021.11,341,2
Charles Chesnutt,341,2021.12,623,2
Charles Chesnutt,623,2022.01,436,2
Charles Chesnutt,436,2022.02,295,2
Charles Chesnutt,295,2022.03,0,2
